PSANationalCode,PSANAME,GACCUnitID,afgNPP_norm,pfgNPP_norm,HER_norm
RM08,Wind River Basin/Casper Mountain,USCORMC,2.84223624667328,36.75913499372927,39.60137124040257
RM09,Laramie Mountains,USCORMC,6.32818388494946,56.31333551744413,62.64151940239363
RM10,Northwest Colorado Plateau,USCORMC,3.285960133674032,28.475100887039723,31.761061020713715
RM11,Northern Colorado Mountains,USCORMC,0.5599518377591379,43.12610855009502,43.68606038785413
RM12,Northern Front Range Foothills,USCORMC,8.335539094549558,52.10464084184091,60.44017993639044
RM13,Northern Front Range Mountains,USCORMC,1.0234032861891544,24.79734755079211,25.820750836981265
RM14,Lower Colorado River Plateau,USCORMC,3.430409248107709,27.778684881831133,31.20909412993882
RM15,Grand Mesa/White River,USCORMC,0.3608428417657549,34.75505864836832,35.11590149013407
RM16,Uncompahgre,USCORMC,1.231870276652158,31.91370423674153,33.14557451339368
RM17,Gunnison/Pike,USCORMC,0.1969291622876311,31.72830290506707,31.925232067354685
RM18,Central Front Range,USCORMC,2.97093825331146,53.05479578771804,56.02573404102952
RM19,Ute Mountain/Mesa Verde,USCORMC,2.380781542397576,28.60605943581908,30.986840978216627
RM20,San Juan,USCORMC,0.2004556520768653,33.29688210650563,33.4973377585825
RM21,San Luis Valley/Great Sand Dunes,USCORMC,4.356924794324834,40.54088969061714,44.897814484942
RM22,Southern Front Range,USCORMC,1.113523421160132,42.57613532251807,43.6896587436782
RM23,Central South Dakota,USCORMC,6.371428898389572,82.6673275406521,89.03875643904168
RM24,SW South Dakota/NE National Forest,USCORMC,15.264402878011031,81.95943469560154,97.22383757361249
RM25,NE Colorado/SE Wyoming/W Nebraska,USCORMC,12.504435124157675,61.09991609652384,73.60435122068161
RM26,Central Nebraska,USCORMC,8.644019724379827,75.25801684778064,83.90203657216061
RM27,SE Colorado/W Kansas,USCORMC,9.639267156025571,49.34726092928656,58.986528085312194
RM28,Central-E Kansas,USCORMC,13.729233895903825,85.00666203547932,98.7358959313832
SA01,TX Pan N,USGASAC,8.199680397348137,69.56659963439475,77.76628003174281
SA02,OK West,USGASAC,14.540754520001332,74.77766564265413,89.31842016265544
SA03,OK Cent,USGASAC,16.927904727596445,97.99948780680728,114.92739253440384
SA04,TX Pan S,USGASAC,5.785876914763869,39.7771007187956,45.56297763355938
SA05,TX Cent NW,USGASAC,13.036147122284511,75.27993054713839,88.31607766942264
SA06,TX Cent NE,USGASAC,16.88874472942185,93.43171345275825,110.3204581821803
